i, j, dm, x, s, t, u, v, n, e, s, w, p, d
0, 0, 6, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 1, 1, 0, 0, 0, -1.34598, -1.332534, 0, 0, 0
0, 0, 6, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 10.2
0, 0, 6, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 10.2
0, 0, 7, 0, 0, 0, 0, 0, 0, 0, -0.3, 0, 0, 0
0, 0, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 0, 1, 0, 0, 0, -0.3, -0.372, 0, 0, 0
0, 0, 7, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 1, 0, 0, 0, 0, -0.372, -0.3, 0, 0, 0
0, 0, 7, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 1, 1, 0, 0, 0, -1.878738, -1.907932, 0, 0, 0
0, 0, 7, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 7, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
